"ID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","QUESTION__C","COLOR__C","RATING_DESCRIPTION__C","RATING__C","SCORE__C","QT__C","SHOW_EXTRA_FIELDS__C","SHOW_THESE_FIELDS__C","SORT_ORDER__C"
"a0Y110000008xj0EAA","false","3874","2014-02-28T00:24:47.000Z","005U0000001BHukIAG","2014-02-28T00:24:47.000Z","005U0000001BHukIAG","2014-02-28T00:24:47.000Z","a0Z11000000D32tEAC","red","Caregiver(s) is unable to organize household to support needed services.","3","6.0","ORGANIZATION","false","",""
"a0Y110000008xj1EAA","false","3875","2014-02-28T00:24:47.000Z","005U0000001BHukIAG","2014-02-28T00:24:47.000Z","005U0000001BHukIAG","2014-02-28T00:24:47.000Z","a0Z11000000D32tEAC","gray","Rate non applicable when the child has no known caregiver and/or when child is living in a residential or group home setting.","NA","0.0","ORGANIZATION","false","",""
"a0Y110000008xj2EAA","false","3876","2014-02-28T00:24:47.000Z","005U0000001BHukIAG","2014-02-28T00:24:47.000Z","005U0000001BHukIAG","2014-02-28T00:24:47.000Z","a0Z11000000D32uEAC","green","Caregiver(s) has sufficient resources so that there are few limitations on what can be provided for the child.","0","0.0","RESOURCES","false","",""
"a0Y110000008xj3EAA","false","3877","2014-02-28T00:24:47.000Z","005U0000001BHukIAG","2014-02-28T00:24:47.000Z","005U0000001BHukIAG","2014-02-28T00:24:47.000Z","a0Z11000000D32uEAC","yellow","Caregiver(s) has the necessary resources to help address the child's major and basic needs but those resources might be stretched.","1","1.0","RESOURCES","false","",""
"a0Y110000008xj4EAA","false","3878","2014-02-28T00:24:47.000Z","005U0000001BHukIAG","2014-02-28T00:24:47.000Z","005U0000001BHukIAG","2014-02-28T00:24:47.000Z","a0Z11000000D32uEAC","orange","Caregiver(s) has limited resources (e.g., a grandmother living in same town who is sometimes available to watch the child).","2","2.0","RESOURCES","false","",""
"a0Y110000008xj5EAA","false","3879","2014-02-28T00:24:47.000Z","005U0000001BHukIAG","2014-02-28T00:24:47.000Z","005U0000001BHukIAG","2014-02-28T00:24:47.000Z","a0Z11000000D32uEAC","red","Caregiver(s) has severely limited resources that are available to assist in the care and treatment of the child.","3","6.0","RESOURCES","false","",""
"a0Y110000008xj6EAA","false","3880","2014-02-28T00:24:47.000Z","005U0000001BHukIAG","2014-02-28T00:24:47.000Z","005U0000001BHukIAG","2014-02-28T00:24:47.000Z","a0Z11000000D32uEAC","gray","Rate non applicable when the child has no known caregiver and/or when child is living in a residential or group home setting.","NA","0.0","RESOURCES","false","",""
"a0Y110000008xj7EAA","false","3881","2014-02-28T00:24:47.000Z","005U0000001BHukIAG","2014-02-28T00:24:47.000Z","005U0000001BHukIAG","2014-02-28T00:24:47.000Z","a0Z11000000D32vEAC","green","This rating indicates a family/caregiver in stable housing with no known risks of instability.","0","0.0","RESIDENTIAL STABILITY","false","",""
"a0Y110000008xjSEAQ","false","3902","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","a0Z11000000D32xEAC","red","Profound level of caregiver or marital violence that often escalates to mutual attacks or the use of physical aggression by one partner to control the other. These episodes may exacerbate child?s difficulties or put the child at greater risk.","3","6.0","MARITAL/PARTNER VIOLENCE","false","",""
"a0Y110000008xjTEAQ","false","3903","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","a0Z11000000D32xEAC","gray","Rate non applicable when the child has no known caregiver and/or when child is living in a residential or group home setting.","NA","0.0","MARITAL/PARTNER VIOLENCE","false","",""
"a0Y110000008xjUEAQ","false","3904","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","a0Z11000000D32XEAS","orange","Child experiences significant barriers and is sometimes prevented from practicing rituals consistent with his/her cultural identity.","2","2.0","RITUAL","false","",""
"a0Y110000008xjVEAQ","false","3905","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","a0Z11000000D32XEAS","red","Child is unable to practice rituals consistent with his/her cultural identity.","3","6.0","RITUAL","false","",""
"a0Y110000008xjWEAQ","false","3906","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","a0Z11000000D32XEAS","green","Child is consistently able to practice rituals consistent with his/her cultural identity.","0","0.0","RITUAL","false","",""
"a0Y110000008xjXEAQ","false","3907","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","a0Z11000000D32XEAS","yellow","Child is generally able to practice rituals consistent with his/her cultural identity; however, he/she sometimes experiences some obstacles to the performance of these rituals.","1","1.0","RITUAL","false","",""
"a0Y110000008xjYEAQ","false","3908","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","a0Z11000000D32yEAC","green","Caregiver has adjusted to traumatic experiences without notable posttraumatic stress reactions.","0","0.0","CAREGIVER POSTTRAUMATIC REACTIONS","false","",""
"a0Y110000008xjZEAQ","false","3909","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","a0Z11000000D32yEAC","yellow","Caregiver has some mild adjustment problems related to their child?s or their own traumatic experiences. Caregiver may exhibit some guilt about their child?s trauma or become somewhat detached or estranged from others.","1","1.0","CAREGIVER POSTTRAUMATIC REACTIONS","false","",""
"a0Y110000008xjaEAA","false","3910","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","a0Z11000000D32yEAC","orange","Caregiver has moderate adjustment difficulties related to traumatic experiences. Caregiver may have nightmares or flashbacks of the trauma.","2","2.0","CAREGIVER POSTTRAUMATIC REACTIONS","false","",""
"a0Y110000008xjbEAA","false","3911","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","005U0000001BHukIAG","2014-02-28T00:24:49.000Z","a0Z11000000D32yEAC","red","Caregiver has significant adjustment difficulties associated with traumatic experiences. Symptoms might include intrusive thoughts, hypervigilance, and constant anxiety.","3","6.0","CAREGIVER POSTTRAUMATIC REACTIONS","false","",""
"a0Y110000008xkQEAQ","false","3962","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D339EAC","red","This rating is given to a child with more significant regressions in behaviors in an earlier age as demonstrated by changes in speech or loss of bowel or bladder control.","3","6.0","BEHAVIORAL REGRESSIONS","false","",""
"a0Y110000008xkREAQ","false","3963","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D33aEAC","","","Presents a Risk","","Vehicle safety (Rides in car safely/fastens seatbelt)","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xkSEAQ","false","3964","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D33aEAC","","","Does Not Present a Risk","","Vehicle safety (Rides in car safely/fastens seatbelt)","false","","2.0"
"a0Y110000008xkTEAQ","false","3965","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D33AEAS","green","This rating is for a child with no evidence of somatic symptoms.","0","0.0","SOMATIZATION","false","",""
"a0Y110000008xkUEAQ","false","3966","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D33AEAS","yellow","This rating indicates a child with a mild level of somatic problems. This could include occasional headaches, stomach problems (nausea, vomiting), joint, limb or chest pain without medical cause.","1","1.0","SOMATIZATION","false","",""
"a0Y110000008xkVEAQ","false","3967","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D33AEAS","orange","This rating indicates a child with a moderate level of somatic problems or the presence of conversion symptoms. This could include more persistent physical symptoms without a medical cause or the presence of several different physical symptoms (e.g., stomach problems, headaches, backaches). This child may meet criteria for a somatoform disorder. Additionally, the child could manifest any conversion symptoms here (e.g., pseudoseizures, paralysis).","2","2.0","SOMATIZATION","false","",""
"a0Y110000008xkWEAQ","false","3968","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D33AEAS","red","This rating indicates a child with severe somatic symptoms causing significant disturbance in school or social functioning. This could include significant and varied symptomatic disturbance without medical cause.","3","6.0","SOMATIZATION","false","",""
"a0Y110000008xkXEAQ","false","3969","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D33bEAC","","","Presents a Risk","","Bike safety","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xkYEAQ","false","3970","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D33bEAC","","","Does Not Present a Risk","","Bike safety","false","","2.0"
"a0Y110000008xkZEAQ","false","3971","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D33BEAS","green","This rating indicates a child with no evidence of any significant anger control problems.","0","0.0","ANGER CONTROL","false","",""
"a0Y110000008xkaEAA","false","3972","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","a0Z11000000D33BEAS","yellow","This rating indicates a child with some problems with controlling anger. He/she may sometimes become verbally aggressive when frustrated. Peers and family members are aware of and may attempt to avoid stimulating angry outbursts. Child may have a history of physical aggression arising from inability to control anger, but none within the last 3 months.","1","1.0","ANGER CONTROL","false","",""
"a0Y110000008xkbEAA","false","3973","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","a0Z11000000D33BEAS","orange","This rating indicates a child with moderate anger control problems. His/her temper has gotten him/her in significant trouble with peers, family, and/or school. This level may be associated with some physical violence, or increasing verbal outbursts. Others are likely quite aware of anger potential.","2","2.0","ANGER CONTROL","false","",""
"a0Y110000008xkcEAA","false","3974","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","a0Z11000000D33BEAS","red","This rating indicates a child with severe anger control problems. His/her temper is likely associated with frequent fighting that is often physical. Others likely fear him/her.","3","6.0","ANGER CONTROL","false","",""
"a0Y110000008xkdEAA","false","3975","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","a0Z11000000D33cEAC","","","Presents a Risk","","Reasonable caution w/strangers","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xkeEAA","false","3976","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","a0Z11000000D33cEAC","","","Does Not Present a Risk","","Reasonable caution w/strangers","false","","2.0"
"a0Y110000008xkfEAA","false","3977","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","a0Z11000000D33CEAS","green","Child has no evidence or history of suicidal ideation or behaviors.","0","0.0","SUICIDE RISK","false","",""
"a0Y110000008xkgEAA","false","3978","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","a0Z11000000D33CEAS","yellow","History of suicidal behaviors or significant ideation but none during the past 30 days.","1","1.0","SUICIDE RISK","false","",""
"a0Y110000008xkhEAA","false","3979","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","a0Z11000000D33CEAS","orange","Recent, (last 30 days) but not acute (today) suicidal ideation or gesture.","2","2.0","SUICIDE RISK","false","",""
"a0Y110000008xkiEAA","false","3980","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","a0Z11000000D33CEAS","red","Current suicidal ideation and intent in the past 24 hours.","3","6.0","SUICIDE RISK","false","",""
"a0Y110000008xkjEAA","false","3981","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","005U0000001BHukIAG","2014-02-28T00:24:53.000Z","a0Z11000000D33dEAC","","","Presents a Risk","","Relates personal I.D. information","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xkkEAA","false","3982","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","a0Z11000000D33dEAC","","","Does Not Present a Risk","","Relates personal I.D. information","false","","2.0"
"a0Y110000008xklEAA","false","3983","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","a0Z11000000D33DEAS","green","No evidence of any forms of self-injury (e.g., cutting, burning, face slapping, head banging)","0","0.0","NON-SUICIDAL SELF-INJURY","false","",""
"a0Y110000008xkmEAA","false","3984","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","a0Z11000000D33DEAS","yellow","History of self-injury but none evident in the past 30 days.","1","1.0","NON-SUICIDAL SELF-INJURY","false","",""
"a0Y110000008xknEAA","false","3985","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","a0Z11000000D33DEAS","orange","Engaged in self-injury that does not require medical attention.","2","2.0","NON-SUICIDAL SELF-INJURY","false","",""
"a0Y110000008xkoEAA","false","3986","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","a0Z11000000D33DEAS","red","Engaged in self-injury that requires medical attention.","3","6.0","NON-SUICIDAL SELF-INJURY","false","",""
"a0Y110000008xkpEAA","false","3987","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","a0Z11000000D33eEAC","","","Presents a Risk","","Safely accesses community resources","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xkqEAA","false","3988","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","a0Z11000000D33eEAC","","","Does Not Present a Risk","","Safely accesses community resources","false","","2.0"
"a0Y110000008xkrEAA","false","3989","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","a0Z11000000D33EEAS","green","No evidence of behaviors that place the child at risk of physical harm.","0","0.0","OTHER SELF HARM","false","",""
"a0Y110000008xksEAA","false","3990","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","a0Z11000000D33EEAS","yellow","History of behavior other than suicide or self-mutilation that places child at risk of physical harm. This includes reckless and risk-taking behavior that may endanger the child.","1","1.0","OTHER SELF HARM","false","",""
"a0Y110000008xktEAA","false","3991","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","005U0000001BHukIAG","2014-02-28T00:24:54.000Z","a0Z11000000D33EEAS","orange","Engaged in behavior other than suicide or self-mutilation that places him/her in danger of physical harm. This includes reckless behavior or intentional risk-taking behavior.","2","2.0","OTHER SELF HARM","false","",""
"a0Y110000008xl4EAA","false","4002","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","a0Z11000000D33GEAS","yellow","Mild problems of sexually abusive behavior. For example, occasional inappropriate sexually aggressive/harassing language or behavior.","1","1.0","SEXUAL AGGRESSION","false","",""
"a0Y110000008xl5EAA","false","4003","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","a0Z11000000D33GEAS","orange","Moderate problems with sexually abusive behavior, For example, frequent inappropriate sexual behavior. Frequent disrobing would be rated here only if it was sexually provocative. Frequent inappropriate touching would be rated here.","2","2.0","SEXUAL AGGRESSION","false","",""
"a0Y110000008xl6EAA","false","4004","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","a0Z11000000D33GEAS","red","Severe problems with sexually abusive behavior. This would include the rape or sexual abuse of another person involving sexual penetration.","3","6.0","SEXUAL AGGRESSION","false","",""
"a0Y110000008xkGEAQ","false","3952","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D337EAC","yellow","Mild problems with attachment. There is some evidence of insecurity in the child-caregiver relationship.
Caregiver may at times have difficulty accurately reading child?s bids for attention and nurturance; may be inconsistent in response; or may be occasionally intrusive. Child may have mild problems with separation (e.g., anxious/clingy behaviors in the absence of obvious cues of danger) or may avoid contact with caregiver in age-inappropriate way. Child may have minor difficulties with appropriate physical/emotional boundaries with others.","1","1.0","ATTACHMENT DIFFICULTIES","false","",""
"a0Y110000008xkHEAQ","false","3953","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D337EAC","orange","Moderate problems with attachment. Attachment relationship is marked by sufficient difficulty as to require intervention. Caregiver may consistently misinterpret child cues, act in an overly intrusive way, or ignore/avoid child bids for attention/nurturance. Child may have ongoing difficulties with separation, may consistently avoid contact with caregivers, and may have ongoing difficulties with physical or emotional boundaries with others.","2","2.0","ATTACHMENT DIFFICULTIES","false","",""
"a0Y110000008xkIEAQ","false","3954","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D337EAC","red","Severe problems with attachment. Child is unable to form attachment relationships with others (e.g., chronic dismissive/avoidant/detached behavior in care giving relationships) OR child presents with diffuse emotional/physical boundaries leading to indiscriminate attachment with others. Child is considered at ongoing risk due to the nature of his/her attachment behaviors. A child who meets the criteria for an Attachment Disorder in DSM-IV would be rated here. Child may have experienced significant early separation from or loss of caregiver, or have experienced chronic inadequate care from early caregivers, or child may have individual vulnerabilities  (e.g., mental health, developmental disabilities) that interfere with the formation of positive attachment  relationships.","3","6.0","ATTACHMENT DIFFICULTIES","false","",""
"a0Y110000008xkJEAQ","false","3955","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D338EAC","green","This rating is for a child with no evidence of eating disturbances.","0","0.0","EATING DISTURBANCES","false","",""
"a0Y110000008xkKEAQ","false","3956","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D338EAC","yellow","This rating is for a child with a mild level of eating disturbance. This could include some preoccupation with weight, calorie intake, or body size or type when of normal weight or below weight. This could also include some binge eating patterns.","1","1.0","EATING DISTURBANCES","false","",""
"a0Y110000008xkLEAQ","false","3957","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D338EAC","orange","This rating is for a child with a moderate level of eating disturbance. This could include a more intense preoccupation with weight gain or becoming fat when underweight, restrictive eating habits or excessive exercising in order to maintain below normal weight, and/or emaciated body appearance. This level could also include more notable binge eating episodes that are followed by compensatory behaviors in order to prevent weight gain (e.g., vomiting, use of laxatives, excessive exercising). This child may meet criteria for a DSM-IV Eating Disorder (Anorexia or Bulimia Nervosa).","2","2.0","EATING DISTURBANCES","false","",""
"a0Y110000008xkMEAQ","false","3958","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D338EAC","red","This rating is for a child with a more severe form of eating disturbance. This could include significantly low weight where hospitalization is required or excessive binge-purge behaviors (at least once per day).","3","6.0","EATING DISTURBANCES","false","",""
"a0Y110000008xkNEAQ","false","3959","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D339EAC","green","This rating is given to a child with no evidence of behavioral regression.","0","0.0","BEHAVIORAL REGRESSIONS","false","",""
"a0Y110000008xkOEAQ","false","3960","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D339EAC","yellow","This rating is given to a child with some regressions in age-level of behavior (e.g., thumb sucking, whining when age inappropriate).","1","1.0","BEHAVIORAL REGRESSIONS","false","",""
"a0Y110000008xl7EAA","false","4005","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","a0Z11000000D33hEAC","","","Presents a Risk","","Demonstrates law abiding behavior","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xl8EAA","false","4006","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","a0Z11000000D33hEAC","","","Does Not Present a Risk","","Demonstrates law abiding behavior","false","","2.0"
"a0Y110000008xl9EAA","false","4007","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","a0Z11000000D33HEAS","green","This rating is for a child with no history of running away and no ideation involving escaping from the present living situation.","0","0.0","RUNAWAY","false","",""
"a0Y110000008xlAEAQ","false","4008","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","a0Z11000000D33HEAS","yellow","This rating is for a child with no recent history or running away but who has expressed ideation about escaping present living situation or treatment. Child may have threatened running away on one or more occasions or have a history (lifetime) of running away but not in the past year.","1","1.0","RUNAWAY","false","",""
"a0Y110000008xlBEAQ","false","4009","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","a0Z11000000D33HEAS","orange","This rating is for a child who has run away from home once or run away from one treatment setting within the past year. Also rated here is a child who has run away to home (parental or relative) in the past year.","2","2.0","RUNAWAY","false","",""
"a0Y110000008xlCEAQ","false","4010","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","a0Z11000000D33HEAS","red","This rating is for a child who has (1) run away from home and/or treatment settings within the last 7 days or (2) run away from home and/or treatment setting twice or more overnight during the past 30 days. Destination is not a return to home of parent or relative.","3","6.0","RUNAWAY","false","",""
"a0Y110000008xlDEAQ","false","4011","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","005U0000001BHukIAG","2014-02-28T00:24:55.000Z","a0Z11000000D33iEAC","","","Presents a Risk","","Other","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xlOEAQ","false","4022","2014-02-28T00:24:56.000Z","005U0000001BHukIAG","2014-02-28T00:24:56.000Z","005U0000001BHukIAG","2014-02-28T00:24:56.000Z","a0Z11000000D33JEAS","yellow","History of problems with judgment in which the child makes decisions that are in some way harmful (e.g., a child who has a history of hanging out with other children who shoplift.)","1","1.0","JUDGMENT","false","",""
"a0Y110000008xlPEAQ","false","4023","2014-02-28T00:24:56.000Z","005U0000001BHukIAG","2014-02-28T00:24:56.000Z","005U0000001BHukIAG","2014-02-28T00:24:56.000Z","a0Z11000000D33JEAS","orange","Problems with judgment in which the child makes decisions that are in some way harmful to his/her development and/or well-being that may place him/her at moderate risk of harm.","2","2.0","JUDGMENT","false","",""
"a0Y110000008xlQEAQ","false","4024","2014-02-28T00:24:56.000Z","005U0000001BHukIAG","2014-02-28T00:24:56.000Z","005U0000001BHukIAG","2014-02-28T00:24:56.000Z","a0Z11000000D33JEAS","red","Problems with judgment that place the child at risk of significant imminent physical harm.","3","6.0","JUDGMENT","false","",""
"a0Y110000008xlREAQ","false","4025","2014-02-28T00:24:56.000Z","005U0000001BHukIAG","2014-02-28T00:24:56.000Z","005U0000001BHukIAG","2014-02-28T00:24:56.000Z","a0Z11000000D33kEAC","green","There is no evidence that child has experienced physical abuse.","0","0.0","PHYSICAL ABUSE","false","",""
"a0Y110000008xlSEAQ","false","4026","2014-02-28T00:24:56.000Z","005U0000001BHukIAG","2014-02-28T00:24:56.000Z","005U0000001BHukIAG","2014-02-28T00:24:56.000Z","a0Z11000000D33kEAC","yellow","There is a suspicion that child has experienced physical abuse but no confirming evidence. Spanking without physical harm or threat of harm also qualifies.","1","1.0","PHYSICAL ABUSE","false","",""
"a0Y110000008xlTEAQ","false","4027","2014-02-28T00:24:56.000Z","005U0000001BHukIAG","2014-02-28T00:24:56.000Z","005U0000001BHukIAG","2014-02-28T00:24:56.000Z","a0Z11000000D33kEAC","orange","Child has experienced a moderate level of physical abuse and/or repeated forms of physical punishment (e.g. hitting, punching).","2","2.0","PHYSICAL ABUSE","false","",""
"a0Y110000008xlUEAQ","false","4028","2014-02-28T00:24:56.000Z","005U0000001BHukIAG","2014-02-28T00:24:56.000Z","005U0000001BHukIAG","2014-02-28T00:24:56.000Z","a0Z11000000D33kEAC","red","Child has experienced severe and repeated physical abuse with intent to do harm and that causes sufficient physical harm requiring hospital treatment.","3","6.0","PHYSICAL ABUSE","false","",""
"a0Y110000008xlVEAQ","false","4029","2014-02-28T00:24:56.000Z","005U0000001BHukIAG","2014-02-28T00:24:56.000Z","005U0000001BHukIAG","2014-02-28T00:24:56.000Z","a0Z11000000D33KEAS","green","No evidence or history of fire setting behavior","0","0.0","FIRE SETTING","false","",""
